fecha;cotizacion
2019-09-06;6278.87
2019-11-06;6440.48
2019-12-06;6438.37
2019-01-07;5999.59
2019-02-07;6030.21
2019-03-07;6086.11
2019-05-07;6350.75
2019-06-07;6276.8
2019-08-07;6113.77
2019-10-07;6403.07
2019-11-07;6446.95
2019-01-08;6000.05
2019-02-08;6037.02
2019-03-08;6095.3
2019-04-08;6202.94
2019-05-08;6360.96
2019-07-08;6149.71
2019-08-08;6101.04
2019-10-08;6401.09
2019-11-08;6457.33
2019-01-09;6010.34
2019-04-09;6208.49
2019-05-09;6364.74
2019-07-09;6109.5
2019-08-09;6065.15
2019-09-09;6306.43
2019-10-09;6411.89
2019-12-09;6430
2019-01-10;6019.87
2019-04-10;6214.98
2019-05-10;6395.71
2019-06-10;6260.13
2019-07-10;6056.29
2019-09-10;6308.74
2019-10-10;6415.52
2019-12-10;6437.78
2019-01-11;6019.39
2019-02-11;6038.42
2019-03-11;6104.97
2019-04-11;6219.06
2019-06-11;6251.03
2019-07-11;6039.89
2019-09-11;6334.86
2019-10-11;6409.78
2019-11-11;6471.6
2019-12-11;6441.74
2019-02-12;6047.69
2019-03-12;6094.76
2019-04-12;6220.2
2019-06-12;6265.91
2019-07-12;6010.05
2019-08-12;6089.93
2019-09-12;6332.93
2019-11-12;6463.16
2019-12-12;6435.59
2019-02-13;6045.99
2019-03-13;6104.41
2019-05-13;6350.97
2019-06-13;6244.16
2019-08-13;6100.76
2019-09-13;6340.77
2019-11-13;6455.25
2019-12-13;6447.22
2019-01-14;6024.18
2019-02-14;6056.58
2019-03-14;6120.72
2019-06-14;6194.51
2019-08-14;6100.38
2019-10-14;6414.84
2019-11-14;6445.2
2019-01-15;6043.98
2019-02-15;6051.21
2019-03-15;6128.78
2019-04-15;6220.39
2019-07-15;6000
2019-10-15;6433.65
2019-11-15;6443.51
2019-01-16;6048.12
2019-04-16;6218.38
2019-05-16;6292.56
2019-07-16;5978.94
2019-08-16;6118.72
2019-09-16;6339.66
2019-10-16;6468.72
2019-12-16;6454.78
2019-01-17;6063.34
2019-04-17;6241.61
2019-05-17;6283.78
2019-07-17;6024.68
2019-09-17;6352.2
2019-10-17;6480.12
2019-12-17;6462.53
2019-01-18;6080.19
2019-02-18;6051.99
2019-03-18;6138.18
2019-06-18;6186.14
2019-07-18;5975.65
2019-09-18;6364.34
2019-10-18;6469.82
2019-11-18;6438.49
2019-12-18;6454.22
2019-02-19;6068.6
2019-03-19;6134.56
2019-06-19;6201.55
2019-07-19;5977.17
2019-08-19;6120.37
2019-09-19;6388.94
2019-11-19;6468.13
2019-12-19;6451.97
2019-02-20;6079.58
2019-03-20;6148.56
2019-05-20;6296.1
2019-06-20;6203.87
2019-08-20;6141.23
2019-09-20;6397.66
2019-11-20;6474.81
2019-12-20;6446.61
2019-01-21;6069.77
2019-02-21;6085.12
2019-03-21;6146.86
2019-05-21;6320.12
2019-06-21;6199.86
2019-08-21;6154.17
2019-10-21;6455.48
2019-11-21;6469.82
2019-01-22;6057.35
2019-02-22;6095.66
2019-03-22;6156.54
2019-04-22;6245.45
2019-05-22;6341.19
2019-07-22;5980.26
2019-08-22;6182.91
2019-10-22;6459.14
2019-11-22;6465.24
2019-01-23;6046.21
